formula_id,mutated_latex,error_type,why_wrong_short
kin_avg_speed_v_ege_oge,v_{ср}=\dfrac{t}{S},structure,Путь и время поменяны местами.
kin_avg_speed_v_ege_oge,v_{ср}=S\cdot t,build,"Должно быть деление, а не произведение."
kin_avg_speed_v_ege_oge,v_{ср}=\dfrac{S}{2t},recognition,Лишний множитель 2 в знаменателе.
kin_uniform_coord_x_t,x(t)=x_0+v_x,build,Потеряно умножение на t.
kin_uniform_coord_x_t,x(t)=x_0-v_x t,structure,Неверный знак скорости для движения в положит. направлении.
kin_uniform_coord_x_t,x(t)=v_x t,recognition,Потеряна начальная координата.
kin_uniaccel_coord_x_t,x(t)=x_0+v_{0x} t+a_x t^2,build,Забыли делить на 2.
kin_uniaccel_coord_x_t,x(t)=x_0+v_{0x} t+\dfrac{a_x t}{2},structure,У ускорения должно стоять t² а не t.
kin_uniaccel_coord_x_t,x(t)=x_0+\dfrac{a_x t^2}{2},recognition,Потерян член v₀ₓ·t.
kin_uniaccel_velocity,v_x=v_{0x}+a_x t^2,structure,У ускорения не должно быть t².
kin_uniaccel_velocity,v_x=a_x t,recognition,Потеряна начальная скорость.
kin_uniaccel_no_time,v-v_0=2aS,structure,Потеряны квадраты скоростей.
kin_uniaccel_no_time,v^2-v_0^2=aS,build,Потерян множитель 2.
kin_accel_definition,a=\dfrac{t}{v-v_0},structure,Числитель и знаменатель поменяны.
kin_accel_definition,a=(v-v_0)\cdot t,build,"Должно быть деление, а не умножение."
kin_circular_linear_speed,v=\dfrac{\pi R}{T},build,Потерян множитель 2.
kin_circular_linear_speed,v=\dfrac{2\pi R^2}{T},recognition,Радиус в квадрате не нужен.
kin_circular_linear_speed,v=\dfrac{T}{2\pi R},structure,Числитель и знаменатель перепутаны.
kin_circular_omega_T,\omega=\dfrac{\pi}{T},build,Потерян 2.
kin_circular_omega_T,\omega=\dfrac{T}{2\pi},structure,Числитель и знаменатель перепутаны.
kin_centripetal_v2_R,a_ц=\dfrac{v}{R},structure,Потерян квадрат скорости.
kin_centripetal_v2_R,a_ц=\dfrac{v^2}{R^2},build,Радиус не должен быть в квадрате.
kin_centripetal_omega2_R,a_ц=\omega R,structure,Потерян квадрат ω.
kin_centripetal_omega2_R,a_ц=\omega^2/R,build,"Должно быть произведение, а не деление."
dyn_newton_2nd,F=\dfrac{m}{a},structure,"Должно быть произведение, а не деление."
dyn_newton_2nd,F=m+a,build,"Должно быть произведение, а не сумма."
dyn_newton_3rd,F_{12}=F_{21},structure,Забыт знак минус.
dyn_newton_3rd,F_{12}=2F_{21},recognition,Силы равны по модулю.
dyn_friction,F_{тр}=\dfrac{\mu}{N},structure,Должно быть произведение.
dyn_friction,F_{тр}=\mu+N,build,Должно быть произведение.
dyn_hookes_law,F=\dfrac{k}{\Delta l},structure,Должно быть произведение.
dyn_hookes_law,F=k\Delta l^2,build,Δl в первой степени.
dyn_universal_gravitation,F=G\dfrac{m_1 m_2}{R},structure,R должно быть в квадрате.
dyn_universal_gravitation,F=G\dfrac{m_1+m_2}{R^2},build,Должно быть произведение масс.
dyn_gravity,F_{тяж}=\dfrac{m}{g},structure,Должно быть произведение.
dyn_gravity,F_{тяж}=m+g,build,Должно быть произведение.
cons_momentum_def,p=mv^2,build,Скорость в первой степени.
cons_momentum_def,p=\dfrac{m}{v},structure,Должно быть произведение.
cons_momentum_conservation,m_1 v_1=m_2 v_2,recognition,"Это не закон сохранения, а частный случай."
cons_momentum_conservation,m_1 v_1+m_2 v_2=0,structure,Справа должна быть сумма после взаимодействия.
cons_work,A=Fs\sin\alpha,recognition,"Должен быть cos, а не sin."
cons_work,A=\dfrac{F}{s}\cos\alpha,structure,Должно быть произведение F и s.
cons_power,N=\dfrac{t}{A},structure,Числитель и знаменатель перепутаны.
cons_power,N=A\cdot t,build,Должно быть деление.
cons_kinetic_energy,E_к=\dfrac{mv}{2},structure,Скорость должна быть в квадрате.
cons_kinetic_energy,E_к=mv^2,build,Забыто деление на 2.
cons_kinetic_energy,E_к=\dfrac{m^2 v}{2},recognition,"В квадрате стоит скорость, а не масса."
cons_potential_gravity,E_п=mg+h,build,Должно быть произведение.
cons_potential_gravity,E_п=\dfrac{mg}{h},structure,"Должно быть произведение, а не деление."
cons_mech_energy,E_к=E_п,recognition,"Сохраняется сумма, а не равенство энергий."
cons_mech_energy,E_к\cdot E_п=\mathrm{const},structure,"Сохраняется сумма, не произведение."
stat_moment,M=\dfrac{F}{l},structure,Должно быть произведение.
stat_moment,M=F+l,build,Должно быть произведение.
hydro_density,\rho=\dfrac{V}{m},structure,Числитель и знаменатель перепутаны.
hydro_density,\rho=m\cdot V,build,Должно быть деление.
hydro_pressure_general,p=\dfrac{S}{F},structure,Числитель и знаменатель перепутаны.
hydro_pressure_general,p=F\cdot S,build,Должно быть деление.
hydro_pressure_liquid,p=\rho+g h,build,Должно быть произведение трёх величин.
hydro_pressure_liquid,p=\dfrac{\rho g}{h},structure,h должна быть в числителе.
hydro_archimedes,F_А=\rho g V^2,build,Объём в первой степени.
hydro_archimedes,F_А=\dfrac{\rho g}{V},structure,V должен быть в произведении.
