formula_id,situation_ru,build_prompt_ru,tf_prompt_ru
kin_avg_speed_v_ege_oge,Автомобиль проехал путь S за время t. Как найти его среднюю скорость?,Собери формулу средней скорости из знаков S и t.,"Верно ли, что средняя скорость равна S делить на t?"
kin_uniform_coord_x_t,Тело стартует из x₀ со скоростью v_x по оси X. Формула координаты?,Собери формулу x(t).,"Верно ли, что x(t)=x₀+v_x·t?"
kin_uniaccel_coord_x_t,Тело движется с постоянным ускорением a_x. Как записать x(t)?,Собери формулу координаты при равноускоренном движении.,"Верно ли, что x(t)=x₀+v₀ₓt+a_xt²/2?"
kin_uniaccel_velocity,Тело с начальной скоростью v₀ₓ получает ускорение a_x. Формула v(t)?,Собери формулу скорости.,"Верно ли, что v_x=v₀ₓ+a_x·t?"
kin_uniaccel_no_time,Нужно связать конечную скорость и путь без времени. Какая формула?,Собери формулу связи скоростей и пути.,"Верно ли, что v²−v₀²=2aS?"
kin_accel_definition,Скорость изменилась с v₀ до v за время t. Найти ускорение.,Собери формулу ускорения.,"Верно ли, что a=(v−v₀)/t?"
kin_circular_linear_speed,Тело движется по окружности радиуса R с периодом T. Найти линейную скорость.,Собери формулу линейной скорости.,"Верно ли, что v=2πR/T?"
kin_circular_omega_T,Период вращения T. Найти угловую скорость.,Собери формулу угловой скорости через период.,"Верно ли, что ω=2π/T?"
kin_centripetal_v2_R,Тело движется по окружности радиуса R со скоростью v. Центростремительное ускорение?,Собери формулу центростремительного ускорения через v.,"Верно ли, что a_ц=v²/R?"
kin_centripetal_omega2_R,Тело вращается с угловой скоростью ω на радиусе R. a_ц?,Собери формулу a_ц через ω.,"Верно ли, что a_ц=ω²R?"
dyn_newton_2nd,Тело массой m движется с ускорением a. Найти равнодействующую силу.,Собери формулу второго закона Ньютона.,"Верно ли, что F=ma?"
dyn_newton_3rd,Как связаны силы действия и противодействия?,,"Верно ли, что F_{12}=−F_{21}?"
dyn_friction,"Брусок давит на поверхность с нормальной реакцией N, коэффициент трения μ. Сила трения?",Собери формулу силы трения.,"Верно ли, что F_тр=μN?"
dyn_hookes_law,Пружина с жёсткостью k растянута на Δl. Сила упругости?,Собери формулу закона Гука.,"Верно ли, что F=kΔl?"
dyn_universal_gravitation,Два тела массами m₁ и m₂ на расстоянии R. Сила притяжения?,Собери формулу всемирного тяготения.,"Верно ли, что F=Gm₁m₂/R²?"
dyn_gravity,Тело массой m у поверхности Земли. Сила тяжести?,Собери формулу силы тяжести.,"Верно ли, что F_тяж=mg?"
cons_momentum_def,Тело массой m движется со скоростью v. Найти импульс.,Собери формулу импульса.,"Верно ли, что p=mv?"
cons_momentum_conservation,Два тела взаимодействуют без внешних сил. Какой закон применяется?,,"Верно ли, что суммарный импульс до равен суммарному после?"
cons_work,Сила F под углом α к перемещению s. Найти работу.,Собери формулу механической работы.,"Верно ли, что A=Fs·cos α?"
cons_power,За время t совершена работа A. Найти мощность.,Собери формулу мощности.,"Верно ли, что N=A/t?"
cons_kinetic_energy,Тело массой m движется со скоростью v. Найти кинетическую энергию.,Собери формулу кинетической энергии.,"Верно ли, что E_к=mv²/2?"
cons_potential_gravity,Тело массой m на высоте h над Землёй. Найти потенциальную энергию.,Собери формулу потенциальной энергии.,"Верно ли, что E_п=mgh?"
cons_mech_energy,Свободное движение в поле тяжести без трения. Какая величина сохраняется?,,"Верно ли, что E_к+E_п=const?"
stat_moment,Сила F действует на плечо l. Найти момент силы.,Собери формулу момента силы.,"Верно ли, что M=Fl?"
hydro_density,Тело массой m занимает объём V. Найти плотность.,Собери формулу плотности.,"Верно ли, что ρ=m/V?"
hydro_pressure_general,Сила F действует на площадь S. Найти давление.,Собери формулу давления.,"Верно ли, что p=F/S?"
hydro_pressure_liquid,"Жидкость плотностью ρ, глубина h. Найти давление столба.",Собери формулу давления столба жидкости.,"Верно ли, что p=ρgh?"
hydro_archimedes,Тело объёма V погружено в жидкость плотностью ρ. Найти силу Архимеда.,Собери формулу силы Архимеда.,"Верно ли, что F_А=ρgV?"
